,poplulation_average
0,25218.018
1,25110.1883
2,25187.047
3,25161.2639
4,25108.4394
5,24884.8618
6,25374.7748
7,27355.6663
8,25446.8397
9,24378.5928
10,24089.178
11,23513.6315
12,23220.7246
13,22996.8009
14,23123.6117
15,23037.0436
16,23796.2665
17,24413.677
18,25907.8249
19,27216.112
20,27574.5047
21,27766.2691
22,27566.7512
23,25956.0368
24,25105.636
25,25036.428
26,24867.0475
27,24831.4648
28,24893.6492
29,24690.5924
30,24996.5391
31,26908.9431
32,24932.3702
33,23728.69
34,23539.0436
35,23362.584
36,22815.3803
37,22718.1077
38,22218.6972
39,21977.9479
40,23366.8042
41,23858.1001
42,25441.5774
43,26449.5188
44,27057.6739
45,27315.9561
46,27134.6632
47,25596.3792
48,25073.1744
49,24791.3412
50,24711.6986
51,24716.9983
52,24764.0457
53,24562.3386
54,24658.8163
55,26801.1254
56,25019.6259
57,23846.3375
58,23225.4853
59,22932.1889
60,22653.9921
61,22452.0843
62,22503.5512
63,22727.2587
64,23302.6161
65,23958.2253
66,25856.1228
67,26999.6228
68,27556.4871
69,27469.7323
70,27565.1538
71,25487.3414
72,25024.3105
73,24735.6787
74,24645.76575
75,24678.39505
76,24702.05145
77,24664.207000000002
78,25088.21745
79,26526.97395
80,25772.2103
81,25044.439599999998
82,24583.735
83,24114.0493
84,23771.9666
85,23752.30575
86,23441.02465
87,23543.731200000002
88,24138.017
89,24781.4423
90,25813.672749999998
91,26678.05375
92,26942.10015
93,27235.881849999998
94,26869.14355
95,25992.361149999997
96,25129.02275
97,24900.0249
98,24689.64555
99,24648.0113
100,24734.488599999997
101,24614.3328
102,24978.8744
103,25758.3511
104,25753.1071
105,25376.9118
106,25016.55505
107,24582.9467
108,24494.17715
109,24294.2242
110,23962.54865
111,24137.09965
112,24913.31455
113,25618.11595
114,26468.04115
115,27102.6149
116,27368.5062
117,27293.0781
118,27024.20955
119,26247.3355
120,25614.704749999997
121,25150.334450000002
122,24738.40255
123,24690.57755
124,24679.1737
125,24565.76135
126,24733.25495
127,24975.511400000003
128,25380.384149999998
129,25227.32835
130,24999.849199999997
131,24806.8327
132,24985.91865
133,24825.240400000002
134,24654.576999999997
135,24660.9971
136,25266.4393
137,26120.7534
138,27113.8345
139,27895.252950000002
140,28009.53
141,27965.019099999998
142,27158.45185
143,23855.1208
144,25938.297
145,25585.4869
146,25415.8194
147,25056.5703
148,25093.491
149,25191.3562
150,25217.0439
151,25579.9932
152,25974.0526
153,25951.1737
154,25959.5487
155,25857.8244
156,25681.4502
157,25621.1007
158,25462.7903
159,25772.1422
160,26524.6563
161,26893.1449
162,27441.8832
163,27900.3518
164,27669.2725
165,27597.4602
166,27319.1638
167,25660.5217
168,25218.018
